"party_label","party_votes","prefs","pref_ratio","cand_label","cand_num","protocol"
"ГЕРБ-СДС ","44","37","0.841","Недялко Живков Славов ","102","https://results.cik.bg/ns2023/protokoli/64/22/221100002.1.html"
"БСП ЗА БЪЛГАРИЯ ","41","29","0.707","Емил Минков Хумчев ","102","https://results.cik.bg/ns2023/protokoli/64/22/221100004.1.html"
"ГЕРБ-СДС ","98","75","0.765","Недялко Живков Славов ","102","https://results.cik.bg/ns2023/protokoli/64/22/221100004.1.html"
"БСП ЗА БЪЛГАРИЯ ","31","22","0.71","Емил Минков Хумчев ","102","https://results.cik.bg/ns2023/protokoli/64/22/221100007.1.html"
"ГЕРБ-СДС ","96","71","0.74","Недялко Живков Славов ","102","https://results.cik.bg/ns2023/protokoli/64/22/221100008.1.html"
"ГЕРБ-СДС ","93","66","0.71","Недялко Живков Славов ","102","https://results.cik.bg/ns2023/protokoli/64/22/221100014.1.html"
"Движение за права и свободи – ДПС ","65","50","0.769","Анджей Веселинов Джандев ","102","https://results.cik.bg/ns2023/protokoli/64/22/221100020.1.html"
"ГЕРБ-СДС ","36","30","0.833","Красимир Митков Събев ","101","https://results.cik.bg/ns2023/protokoli/64/22/221600029.1.html"
"Движение за права и свободи – ДПС ","44","40","0.909","Васил Маринов Николов ","111","https://results.cik.bg/ns2023/protokoli/64/26/260700028.1.html"
"Движение за права и свободи – ДПС ","51","41","0.804","Кристина Цветанова Александрова ","104","https://results.cik.bg/ns2023/protokoli/64/26/261700027.1.html"
"Движение за права и свободи – ДПС ","37","33","0.892","Васил Маринов Николов ","111","https://results.cik.bg/ns2023/protokoli/64/26/261800003.1.html"
"ГЕРБ-СДС ","79","57","0.722","Марин Василев Маринов ","102","https://results.cik.bg/ns2023/protokoli/64/26/261800006.1.html"
"Движение за права и свободи – ДПС ","31","23","0.742","Валентин Йовков Тончев ","102","https://results.cik.bg/ns2023/protokoli/64/26/262000019.1.html"
"Движение за права и свободи – ДПС ","31","26","0.839","Валентин Йовков Тончев ","102","https://results.cik.bg/ns2023/protokoli/64/26/262600010.1.html"
"Движение за права и свободи – ДПС ","32","31","0.969","Кристина Цветанова Александрова ","104","https://results.cik.bg/ns2023/protokoli/64/26/262600020.1.html"
"Движение за права и свободи – ДПС ","73","55","0.753","Кристина Цветанова Александрова ","104","https://results.cik.bg/ns2023/protokoli/64/26/262600021.1.html"
"Движение за права и свободи – ДПС ","79","61","0.772","Марко Димитров Марков ","107","https://results.cik.bg/ns2023/protokoli/64/26/263400013.1.html"
"ГЕРБ-СДС ","72","51","0.708","Валентин Мирчов Милушев ","109","https://results.cik.bg/ns2023/protokoli/64/26/263900046.1.html"
"БСП ЗА БЪЛГАРИЯ ","31","29","0.935","Михаил Василев Михайлов ","102","https://results.cik.bg/ns2023/protokoli/64/26/263900048.1.html"
"ГЕРБ-СДС ","58","50","0.862","Валентин Мирчов Милушев ","109","https://results.cik.bg/ns2023/protokoli/64/26/263900048.1.html"
"БСП ЗА БЪЛГАРИЯ ","36","30","0.833","Михаил Василев Михайлов ","102","https://results.cik.bg/ns2023/protokoli/64/26/263900049.1.html"
"ГЕРБ-СДС ","31","25","0.806","Красимир Георгиев Вълчев ","101","https://results.cik.bg/ns2023/protokoli/64/27/270700014.1.html"
"ГЕРБ-СДС ","33","25","0.758","Маноил Минчев Манев ","102","https://results.cik.bg/ns2023/protokoli/64/27/270700022.1.html"
"КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ ","46","37","0.804","Радослав Красенов Василев ","103","https://results.cik.bg/ns2023/protokoli/64/27/272700011.1.html"
"БСП ЗА БЪЛГАРИЯ ","38","34","0.895","Йорданка Стефанова Георгиева ","103","https://results.cik.bg/ns2023/protokoli/64/28/282200017.1.html"
"КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ ","42","34","0.81","Метин Сабриев Ахмедов ","105","https://results.cik.bg/ns2023/protokoli/64/28/282200022.1.html"
"КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ ","74","56","0.757","Метин Сабриев Ахмедов ","105","https://results.cik.bg/ns2023/protokoli/64/28/282200026.1.html"
"ГЕРБ-СДС ","54","42","0.778","Бахтишен Ниязиева Мустафова ","105","https://results.cik.bg/ns2023/protokoli/64/28/282200038.1.html"
"ГЕРБ-СДС ","42","42","1","Бахтишен Ниязиева Мустафова ","105","https://results.cik.bg/ns2023/protokoli/64/28/282200045.1.html"
"БСП ЗА БЪЛГАРИЯ ","55","51","0.927","Йорданка Стефанова Георгиева ","103","https://results.cik.bg/ns2023/protokoli/64/28/282400019.1.html"
"БСП ЗА БЪЛГАРИЯ ","31","29","0.935","Йорданка Стефанова Георгиева ","103","https://results.cik.bg/ns2023/protokoli/64/28/282400020.1.html"
"БСП ЗА БЪЛГАРИЯ ","32","27","0.844","Йорданка Стефанова Георгиева ","103","https://results.cik.bg/ns2023/protokoli/64/28/282400022.1.html"
"БСП ЗА БЪЛГАРИЯ ","48","38","0.792","Йорданка Стефанова Георгиева ","103","https://results.cik.bg/ns2023/protokoli/64/28/282400025.1.html"
"БСП ЗА БЪЛГАРИЯ ","36","28","0.778","Йорданка Стефанова Георгиева ","103","https://results.cik.bg/ns2023/protokoli/64/28/282400029.1.html"
"БСП ЗА БЪЛГАРИЯ ","44","38","0.864","Йорданка Стефанова Георгиева ","103","https://results.cik.bg/ns2023/protokoli/64/28/282400033.1.html"
"ГЕРБ-СДС ","39","33","0.846","Явор Димитров Александров ","104","https://results.cik.bg/ns2023/protokoli/64/28/282400034.1.html"
"БСП ЗА БЪЛГАРИЯ ","63","54","0.857","Йорданка Стефанова Георгиева ","103","https://results.cik.bg/ns2023/protokoli/64/28/282400039.1.html"
"БСП ЗА БЪЛГАРИЯ ","100","89","0.89","Йорданка Стефанова Георгиева ","103","https://results.cik.bg/ns2023/protokoli/64/28/282400045.1.html"
"БСП ЗА БЪЛГАРИЯ ","34","24","0.706","Йорданка Стефанова Георгиева ","103","https://results.cik.bg/ns2023/protokoli/64/28/282400050.1.html"
"БСП ЗА БЪЛГАРИЯ ","59","48","0.814","Йорданка Стефанова Георгиева ","103","https://results.cik.bg/ns2023/protokoli/64/28/282400051.1.html"
"ГЕРБ-СДС ","31","24","0.774","Георги Тенев Станков ","102","https://results.cik.bg/ns2023/protokoli/64/29/291100018.1.html"
"ГЕРБ-СДС ","34","31","0.912","Георги Тенев Станков ","102","https://results.cik.bg/ns2023/protokoli/64/29/291100022.1.html"
